"reference_no","samp_country","aff_country"
55445,"Morocco","USA"
53694,"China","China"
53694,"China","Germany"
53694,"China","UK"
71970,"Argentina","Argentina"
54582,"USA","USA"
56872,"Hungary","UK"
56872,"Hungary","USA"
56872,"Hungary","Hungary"
54018,"Canada","Canada"
54396,"Argentina","Argentina"
54396,"Argentina","Uruguay"
67192,"Russia","Belgium"
67192,"Russia","Czech Republic"
67192,"Russia","Canada"
67192,"Russia","Sweden"
67192,"Russia","Russia"
53867,"Argentina","Argentina"
53867,"Argentina","Italy"
57556,"Western Sahara","USA"
57556,"Western Sahara","Morocco"
59168,"Romania","USA"
59168,"Romania","Argentina"
59168,"Romania","Romania"
59168,"Romania","UK"
59168,"Romania","Hungary"
59168,"Romania","France"
59168,"Romania","Brazil"
59168,"Romania","Germany"
59168,"Romania","Thailand"
53698,"Russia","Poland"
54741,"China","China"
55467,"Myanmar (Burma)","China"
55467,"Myanmar (Burma)","Lebanon"
55467,"Myanmar (Burma)","France"
55485,"Myanmar (Burma)","China"
55485,"Myanmar (Burma)","Lebanon"
55485,"Myanmar (Burma)","France"
52990,"Myanmar (Burma)","China"
52990,"Myanmar (Burma)","France"
52990,"Myanmar (Burma)","Lebanon"
52990,"Myanmar (Burma)","USA"
43370,"France","Austria"
43370,"France","Slovakia"
43370,"France","France"
43370,"France","Germany"
57099,"Mexico","Germany"
57099,"Mexico","Mexico"
53708,"Australia","China"
53708,"Australia","UK"
53708,"Australia","Germany"
54482,"Mexico","Mexico"
54482,"Mexico","Germany"
69177,"Switzerland","Switzerland"
69177,"Switzerland","Germany"
69177,"Switzerland","USA"
53718,"Lebanon","Poland"
53719,"Myanmar (Burma)","Poland"
53719,"Myanmar (Burma)","China"
53719,"Myanmar (Burma)","Germany"
58895,"Poland","Poland"
70146,"Greece","Greece"
70146,"Greece","Germany"
70146,"Greece","Netherlands"
53711,"Lebanon","Russia"
53711,"Lebanon","France"
53711,"Lebanon","Lebanon"
57917,"UK","UK"
67464,"Greece","Germany"
67464,"Greece","Greece"
53729,"China","Russia"
53729,"China","China"
70065,"Greece","Greece"
53723,"Brazil","Poland"
53723,"Brazil","Russia"
53716,"Australia","Poland"
53716,"Australia","Russia"
55393,"China","China"
55393,"China","Thailand"
54430,"Myanmar (Burma)","China"
54430,"Myanmar (Burma)","Russia"
54430,"Myanmar (Burma)","UK"
53910,"China","China"
63907,"Ecuador","USA"
63907,"Ecuador","Ecuador"
56502,"China","China"
56502,"China","France"
