"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293.76965","1345.88749","1499.17068","1521.90846","1878.01989","1938.08593","1987.56262","2172.07522","2331.98475","2492.55988","2588.91382","2699.24266","2843.27503","2872.33062","2869.16871","2765.99771","2693.77956","2625.68144","2613.09979","2623.35435","2715.46526","2855.74562","3000.8872","","",
"Estonia","EST","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117.53981","2138.49802","1905.49434","1926.3794","2212.28698","2197.52365","2470.7293","2457.12751","2603.45067","2744.93118","2969.24123","3228.71566","3060.57874","3397.58185","3462.92471","3341.01051","3284.26311","3183.24369","3295.07562","3542.54618","3755.32912","","",
"Ethiopia","ETH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.06192","","20.01875","","","42.22959","","","44.73122","","","","90.52892","","","",
"European Union","EUU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1967.74267798493","1992.70646882999","1980.7785828908","2092.49743257086","2122.51818308926","2237.12371901749","2266.79342377725","2339.71343164026","2528.23611814278","2601.25309831707","2690.84616313188","2769.30139347947","2934.73750661671","2990.61612369649","3091.78558782586","3129.79092115369","3252.38948218044","3331.86740579445","3387.00933159329","3532.06719607135","3631.07025674978","3840.15698253591","3994.15485394389","","",
"Fragile and conflict affected situations","FCS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7821.86137","7526.63043","7657.22083","7361.54046","7684.80833","7646.33708","7720.22345","7421.582","7473.70618","7206.5324","7009.28753","6844.54752","6531.47954","6721.83019","6861.10974","","",
"Fiji","FJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2668.87618","2657.86067","2664.54015","2732.74323","2915.69466","2986.85851","3117.21193","3199.74823","3334.16691","3313.25866","3423.74845","3585.80596","3659.88478","3747.28462","3873.01285","3942.38881","4073.25058","4154.81555","4233.6383","4307.48974","4414.69944","4561.11283","4715.31913","","",
"Faroe Islands","FRO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1813.12194","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2490.55483","2497.82047","2694.6175","2853.96564","2894.5148","3080.69401","3340.22179","3638.09033","3824.26193","4123.53188","4176.31268","4111.14041","4053.92721","4076.55189","4043.26715","3926.11787","3969.85915","4119.45134","4227.62028","4319.50151","4357.93303","4341.15124","4603.31022","","",
"Georgia","GEO","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566.35449","1059.47472","1280.46364","1306.59079","1307.40616","1463.77339","","",
"Ghana","GHA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0833","","","37.95861","","","","","89.11206","","","","","",
"Gibraltar","GIB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
